电动汽车,车型
电动车辆,车型
燃油汽车,车型
新能源汽车,车型
纯电动轿车,车型
汽车制造商,企业
氢燃料电池汽车,车型
发动机,技术
催化转化器,技术
燃料电池,技术
高能电池,技术
镍氢电池,技术
汽车行驶,环节
燃料电池汽车,车型
锂离子动力电池,技术
散热器,技术
天然气汽车,车型
可燃混合气,技术
汽车工业,环节
国产化率,目标
风力汽车,车型
汽车制造厂商,企业
环保型汽车,车型
最大行程,技术
战略规划,目标
氢能,技术
项目管理,技术
上汽集团,企业
燃料电池车,车型
混合动力轿车,车型
城市公交客车,车型
混合动力车,车型
汽车文化,环节
城市客车,车型
汽车燃油经济性,目标
混合动力,技术
前轮驱动,技术
奇瑞汽车,企业
哈飞汽车,企业
圣达菲,企业
中华轿车,企业
经销商,消费者
长安福特,企业
福特福克斯,企业
北京吉普,企业
移动解决方案,技术
液化石油气汽车,车型
醇类汽车,车型
二甲醚汽车,车型
气动汽车,车型
燃油发动机,技术
概念车,车型
驱动电机,技术
燃料电池发动机,技术
示范运行,环节
燃料电池城市客车,车型
动力蓄电池,技术
东风电动车辆股份有限公司,企业
电动汽车技术,技术
奇瑞汽车公司,企业
燃料电池动力系统,技术
汽车公司,企业
乘用车,车型
压缩天然气发动机,技术
液化石油气发动机,技术
NOx,技术
电动货车,车型
氢氧化镍,技术
锂离子电池,技术
代用燃料汽车,车型
电池系统,技术
光伏屋顶,技术
整车开发,技术
光伏产业,环节
铅酸电池,技术
二甲醚燃料,技术
太阳能,技术
聚光太阳能电池,技术
新能源和可再生能源,技术
水电解制氢装置,技术
电源系统,技术
动力技术,技术
汽车动力系统,技术
汽车能源,技术
氢燃料电池,技术
汽车保有量,目标
纯电动车,车型
动力电池,技术
汽车节油,技术
研发应用,环节
上海汽车工业,环节
新能源汽车技术,技术
代用燃料,技术
石油消费总量,目标
同济大学,科研院所
加氢站,环节
燃油消耗,目标
汽油机车,车型
柴油车,车型
市场动向,工具
福特汽车公司,企业
生产准入,工具
《新能源汽车生产准入管理规则》,工具
管理规则,工具
中国汽车产业,环节
新能源汽车产业,环节
尾气排放税,工具
比亚迪,企业
米其林集团,企业
可持续移动性,目标
替代能源,技术
汽车企业,企业
五洲龙,企业
新能源车,车型
国家发改委,政府
机动车号牌,工具
电液制动系统,技术
恒流源,技术
PID 闭环控制,技术
纯电动汽车,车型
准入管理,工具
准入条件,工具
二甲醚,技术
产业化,环节
混合动力大客车,车型
动力系统,技术
新篇章,目标
燃气汽车,车型
考核要求,工具
售后服务网络,环节
发展期产品,环节
生产一致性,目标
准入门槛,工具
纯电动,车型
混合动力城市客车,车型
战略联盟,目标
战略导向,目标
燃料电池技术,技术
电动车,车型
比亚迪汽车,企业
汽车制造企业,企业
汽车自主品牌,环节
战略发展方向,目标
清洁型,目标
电池堆,技术
冷却系统,技术
AMESim,技术
替代燃料汽车,车型
汽油车,车型
燃油效率,目标
第二代生物燃料,技术
上海汽车集团,企业
汽车厂商,企业
燃料乙醇,技术
可再生能源消费量,环节
玉米加工,技术
燃料电池轿车,车型
科技部,政府
中国汽车工业,环节
汽车业,环节
PID闭环控制,工具
生命周期分析,工具
能源效率,目标
电机系统,技术
变速器,技术
汽油机汽车,车型
续驶里程,目标
上海车展,工具
长安汽车,企业
小排量车,企业
微型车,企业
小排量汽车,企业
汽车产品,环节
锂离子蓄电池,技术
插电式混合动力车,企业
卫星群,工具
风帆股份,企业
中外合资企业,企业
大学生环境教育,工具
北美市场,工具
燃油税,工具
碰撞实验,工具
零部件,技术
油老虎,车型
整车厂,企业
污染物排放限值,目标
汽车零部件再制造试点管理办法,工具
示范运营,工具
上海国际车展,工具
石油储备法,工具
油电混合动力,车型
重大专项,工具
帕萨特,企业
氢动力,技术
电动机,技术
汽车出口,工具
本田汽车,企业
雪铁龙,企业
韩泰轮胎,企业
商用车市场,环节
上海世博局,工具
小企业金融,工具
混合动力客车,车型
氢燃料,技术
纯电动客车,车型
新能源客车,车型
发改委,政府
中化集团,企业
中国石油,企业
可行性分析,工具
车用乙醇,技术
示范工程,工具
社会可持续发展,目标
中国汽车工业协会,学协会
汽车强国,目标
中国汽车工程学会,学协会
企业技术改造,工具
情景分析,工具
产业分析,工具
比亚迪股份,企业
混合动力公交车,车型
准入资格,工具
消费者,消费者
混合动力城市公交车,车型
最大爬坡度,目标
加速时间,目标
镍氢动力电池,技术
整备质量,目标
充电站,环节
汽油机,技术
太阳能光伏产业,环节
中国可再生能源学会,学协会
光伏产品,环节
光伏市场,环节
光伏行业,环节
太阳电池板,技术
汽车营销,环节
汽车消费税,工具
燃料电池客车,车型
项目申请,工具
低能耗,目标
产业扶持政策,工具
原油价格,工具
产品标准,工具
汽车产业链,环节
混合动力汽车,车型
多能源动力总成控制器,技术
电动轮驱动,技术
项目研发,工具
汽车市场,环节
汽车零部件再制造,工具
汽车涂料,技术
关键零部件,技术
整车企业,企业
技术支撑体系,环节
中国汽车市场,环节
研发生产,环节
可再生资源,技术
环保节能,目标
海洋油气资源开发,环节
多联产技术,技术
绿色设计与制造,技术
煤炭液化技术,技术
中央财政补贴,工具
火炬计划,工具
污水处理设施,工具
首发车,工具
绿色动力,工具
工业生态系统,技术
税收补贴,工具
新能源汽车产业联盟,学协会
柴油发动机,技术
纯电动公交车,车型
电容器,技术
零部件企业,企业
研发计划,工具
汽车行业,环节
整车技术,技术
发动机电控系统,技术
驱动电机系统,技术
政府优先采购,工具
传统动力源,技术
混合动力源,技术
绿色车队,目标
国际汽车展,工具
氢能源汽车,车型
现代农业技术,技术
多波束测深系统,技术
战略研讨会,工具
北京汽车工程学会,学协会
半导体照明,技术
现代交通技术,技术
清洁柴油,技术
混合动力系统,技术
减排效果,目标
电池车,车型
混合动力电动汽车,车型
商用车,车型
燃料替代,技术
整车设计,技术
材料轻量化,目标
空置率,目标
准入规则,工具
河南省汽车工程学会,学协会
中介机构,其他机构
智能交通,目标
碳减排,目标
双模式,目标
东风商用车,车型
月租费,工具
反补贴调查,工具
服务供应商,企业
矿业权转让,工具
产权交易市场,环节
服务外包产业,工具
服务外包企业,工具
节能减排,目标
插电式混合动力汽车,车型
水下机器人,技术
风机制造,技术
工程研究中心,科研院所
太阳能光伏,技术
汽油加氢,技术
可再生能源,技术
乘用车市场,环节
汽车用品,环节
交叉型乘用车,车型
汽车销售,环节
重卡市场,环节
供应链金融服务,工具
供应链管理,工具
消费者价格指数,环节
减排技术,技术
产业集群,环节
客车,车型
电池快换,技术
双离合器,技术
电子控制单元,技术
汽车经销商,企业
合资公司,企业
中低速磁悬浮列车,技术
金太阳示范工程,工具
锂离子充电电池,技术
燃料电池系统,技术
锂电池,技术
汽车电池,技术
燃料电池双极板,技术
太阳能热电站,技术
未来移动通信,技术
世界自然保护联盟,学协会
中科院电工所,科研院所
以旧换新,工具
履约保证金,工具
公共交通领域,环节
公交客车,车型
光伏技术,技术
新能源发展,目标
研讨会,工具
电池回收,工具
环保产业,环节
国际货币基金组织,学协会
高管人员薪酬,工具
农机补贴,工具
零部件供应商,企业
改装车,车型
发动机管理系统,技术
大型钢铁企业,企业
中小板公司,企业
服务提供者,企业
国有大企业,企业
综合交通运输体系,目标
技术经济比较,工具
民营汽车企业,企业
无轨电车,车型
续航里程,目标
电动轿车,车型
太阳能汽车,车型
风能发电,技术
新能源产品,环节
动力电池组,技术
电动车电池,技术
离子电池,技术
汽车零部件企业,企业
客车企业,企业
国家大学科技园,科研院所
